会社名,概要,郵便番号,住所,設立年度,資本金等,代表者,URL,売上,従業員数
株式会社ＰＭＣテクニカ ,株式会社PMCテクニカは、様々な職種の仕事を紹介している人材派遣会社である。事務や物流など幅広い職種に人材を派遣しており、大手メーカや商社との取引もある。現在はITソリューション･デバイス事業など新たなアウトソーシングのニーズにも対応している。拠点は福島県だが、埼玉県にも事業所があり関東圏での人材派遣も行なっている。, 〒 963-8025 , 福島県郡山市桑野2丁目39-21 , 1999/10/1 , 1996/2/1 ,"31,000,000円","",-,-
株式会社ひまわりキャリアサービス ,株式会社ひまわりキャリアサービスは、再就職支援事業、就職支援事業、人材関連コンサルティング、有料職業紹介事業、業務請負業などを行っている。また、福島県全域で、就職支援・キャリア育成・企業研修・各種セミナーなども実施している。希望あふれる豊かな人生への支援を通して、生き甲斐と喜びを感じることのできる地域社会づくりに貢献するべく、日々努力している。, 〒 963-8071 , 福島県郡山市富久山町久保田下河原96-3 , 2002/6 ,"20,000,000円",滝本　忠夫,"", ～1億  , 11名～30名  
株式会社バースランド ,株式会社バースランドは宮城県、福島県を中心に建売・注文住宅の設計・施工、不動産の仲介を行う不動産会社である。中古物件買取を行う事業や、物件購入後のアフターフォローやメンテナス、リフォームやリノベーションを行う建築部門もあり不動産に関わる全てを総合的に行っている。また、新規の事業として2017年の夏に匠の宿千家という旅館を福島県にオープンしている。, 〒 963-8016 , 福島県郡山市豊田町4-13 , 2008/3/6 ,"7,000,000円",赤井 宣彦,http://birthland.co.jp/, 3億～10億  , 11名～30名  
有限会社ＮＯＮ　ＶＥＲＳＵＳ ,有限会社NON VERSUSは、インテリアを中心とした小売業を行っている会社である。福島県郡山市に本社を置いている。【インテリアショップvanilla】を運営しており、宇都宮市と郡山市の2店舗とオンラインショップがある。カリモクやイームズなど有名な家具・雑貨を豊富に取り揃えており、オリジナル商品も販売している。, 〒 963-8861 , 福島県郡山市鶴見坦3-13-2 , 2003/12 , 1998 ,"3,000,000円","", 3億～10億  , 11名～30名  
株式会社小田原屋 ,株式会社小田原屋は漬物等の製造販売を業とする会社である｡家庭における漬物とは一線を画した専門家としての漬物製造に注力しており､国産原料を使用し､添加物を極力抑えた商品作りを進めている｡近年は漬物の直営店に加え､地方のﾛｰｶﾙな食品をｾﾚｸﾄして販売する店舗も出店している｡, 〒 963-8071 , 福島県郡山市富久山町久保田字郷花4番地20 , 2019/6 , 1933/11 ,"7,000,000円","",-, 11名～30名  
株式会社タナゴウ ,株式会社タナゴウは、軽貨物事業、インターネット事業を行う会社である。軽貨物事業では、チャーター便、スポット便、ハンドキャリー便、緊急配送、運転代行、引っ越し便、梱包発送、飲食店配達・弁当仕出し配送、屋内・野外作業・チルド・クール便、企業専属、ルート便など、様々な業務に対応している。, 〒 963-8021 , 福島県郡山市桜木2丁目31番9号 , - , 2020/12 ,-,"",-,-
一般社団法人あまのしたワーカーズ ,一般社団法人あまのしたワーカーズは、農産物全般の生産及び加工品の製造販売を行う団体である。休耕地の整備と活用、運用、農産物の貯蔵、運搬及び販売、農業生産に関連する資材の製造販売、農作業の代行、請負、受託、農業体験及び観光農業の推進、飲食店の経営、宿泊業、民泊業の経営、イベントの企画運営及び開催なども行う。, 〒 963-8041 , 福島県郡山市富田町字大徳南17番地6 , - , 2020/12/10 ,-,"",-,-
株式会社エコ東日本 ,株式会社エコ東日本は、水素事業を行う会社である。事業内容は、ファインバブル型水素風呂の販売、業務用水素ミストサウナの販売などを行う水素事業、省エネ・コスト削減のコンサルティング事業、非常用発電機の負荷試験事業などである。特に主力商品であるファインバブル型水素風呂は、ゴルフ場・介護施設などへの事業展開を拡大している。, 〒 963-0107 , 福島県郡山市安積1丁目43番地 , 2004/6 , 2004/6/1 ,"7,000,000円","",-, 1～5名  
株式会社大越工業所 ,株式会社大越工業所は、管工事や水道設備工事などを行う企業である。その他の事業内容は土木や建設工事、建設資材の販売、不動産の賃貸などである。主要取引先は郡山市役所、株式会社フジタ、西松建設株式会社などである。水道設備工事では配管が水漏れすることなく、建造物も長持ちするように、これまでに培ってきた技術を用いて施工している。, 〒 963-0813 , 福島県郡山市芳賀1-6-5 , 1973/5 ,"30,000,000円",大越 健一,http://www.okoshi-k.com/, 10億～100億  , 31名～100名 
株式会社S・S・LINE ,株式会社S・S・LINEは、顧客宅での家具の組み立てサービスを行う企業である。インテリアの専門店からインテリア商品や家具を運んで、住宅内で組み立てから設置までを行っている。福島、山梨、長野、千葉、群馬で事業展開を行っている。, 〒 963-0201 , 福島県郡山市大槻町字室ノ木77番地 , - ,"1,000,000円",長谷川　誠,https://www.ssline77.com/,-, 6～10名  
